Symbol,Metric,DelivRatio,PrevDayRatio,PrevLastHrRatio,10:40
HAL,FUT OI,,1.023,,1.023
HAL,CALL VOL,,,,14288
HAL,CALL OI,,,,14476
HAL,PUT VOL,,,,5427
HAL,PUT OI,,,,10249
HAVELLS,CASH VOL,0.949,6.69,0.202,0.072
HAVELLS,FUT VOL,,,,
HAVELLS,FUT OI,,1.021,,1.021
HAVELLS,CALL VOL,,,,2080
HAVELLS,CALL OI,,,,4054
HAVELLS,PUT VOL,,,,1261
HAVELLS,PUT OI,,,,3637
HCLTECH,CASH VOL,1.117,1.459,0.418,0.151
HCLTECH,FUT VOL,,,,
HCLTECH,FUT OI,,1.026,,1.026
HCLTECH,CALL VOL,,,,3668
HCLTECH,CALL OI,,,,3297
HCLTECH,PUT VOL,,,,5956
HCLTECH,PUT OI,,,,5047
HDFCAMC,CASH VOL,1.344,1.132,0.413,0.109
HDFCAMC,FUT VOL,,,,
HDFCAMC,FUT OI,,1.008,,1.008
HDFCAMC,CALL VOL,,,,1471
HDFCAMC,CALL OI,,,,3472
HDFCAMC,PUT VOL,,,,1417
HDFCAMC,PUT OI,,,,4303
HDFCBANK,CASH VOL,0.967,0.522,0.248,0.199
HDFCBANK,FUT VOL,,,,
HDFCBANK,FUT OI,,1.003,,1.003
HDFCBANK,CALL VOL,,,,35522
HDFCBANK,CALL OI,,,,153375
HDFCBANK,PUT VOL,,,,23015
HDFCBANK,PUT OI,,,,96352
HDFCLIFE,CASH VOL,1.234,4.436,0.158,0.065
HDFCLIFE,FUT VOL,,,,
HDFCLIFE,FUT OI,,1.005,,1.005
HDFCLIFE,CALL VOL,,,,4326
HDFCLIFE,CALL OI,,,,6877
HDFCLIFE,PUT VOL,,,,2980
HDFCLIFE,PUT OI,,,,7404
HEROMOTOCO,CASH VOL,1.078,1.158,0.306,0.132
HEROMOTOCO,FUT VOL,,,,
HEROMOTOCO,FUT OI,,1.017,,1.017
HEROMOTOCO,CALL VOL,,,,9418
HEROMOTOCO,CALL OI,,,,12561
HEROMOTOCO,PUT VOL,,,,3898
HEROMOTOCO,PUT OI,,,,9154
HINDALCO,CASH VOL,1.316,2.523,0.393,0.103
HINDALCO,FUT VOL,,,,
HINDALCO,FUT OI,,1.005,,1.005
HINDALCO,CALL VOL,,,,3847
HINDALCO,CALL OI,,,,10103
HINDALCO,PUT VOL,,,,3287
HINDALCO,PUT OI,,,,11526
HINDPETRO,CASH VOL,1.218,1.299,0.287,0.359
HINDPETRO,FUT VOL,,,,
HINDPETRO,FUT OI,,1.008,,1.008
HINDPETRO,CALL VOL,,,,1436
HINDPETRO,CALL OI,,,,2536
HINDPETRO,PUT VOL,,,,1035
HINDPETRO,PUT OI,,,,3580
HINDUNILVR,CASH VOL,1.02,1.372,0.343,0.07
HINDUNILVR,FUT VOL,,,,
HINDUNILVR,FUT OI,,1.01,,1.01
HINDUNILVR,CALL VOL,,,,6232
HINDUNILVR,CALL OI,,,,17555
HINDUNILVR,PUT VOL,,,,4108
HINDUNILVR,PUT OI,,,,15319
HINDZINC,CASH VOL,0.864,1.193,0.148,0.171
HINDZINC,FUT VOL,,,,
HINDZINC,FUT OI,,1.01,,1.01
HINDZINC,CALL VOL,,,,3516
HINDZINC,CALL OI,,,,11900
HINDZINC,PUT VOL,,,,2910
HINDZINC,PUT OI,,,,11182
HYUNDAI,CASH VOL,0.865,0.677,0.206,0.173
HYUNDAI,FUT VOL,,,,
HYUNDAI,FUT OI,,1.009,,1.009
HYUNDAI,CALL VOL,,,,794
HYUNDAI,CALL OI,,,,2204
HYUNDAI,PUT VOL,,,,211
HYUNDAI,PUT OI,,,,3236
ICICIBANK,CASH VOL,1.193,0.637,0.331,0.237
ICICIBANK,FUT VOL,,,,
ICICIBANK,FUT OI,,1.007,,1.007
ICICIBANK,CALL VOL,,,,14014
ICICIBANK,CALL OI,,,,20558
ICICIBANK,PUT VOL,,,,12747
ICICIBANK,PUT OI,,,,13487
ICICIGI,CASH VOL,1.177,1.524,0.304,0.126
ICICIGI,FUT VOL,,,,
ICICIGI,FUT OI,,1.008,,1.008
ICICIGI,CALL VOL,,,,1391
ICICIGI,CALL OI,,,,1670
ICICIGI,PUT VOL,,,,552
ICICIGI,PUT OI,,,,2520
ICICIPRULI,CASH VOL,1.131,1.921,0.232,0.616
ICICIPRULI,FUT VOL,,,,
ICICIPRULI,FUT OI,,1.058,,1.058
ICICIPRULI,CALL VOL,,,,1403
ICICIPRULI,CALL OI,,,,1145
ICICIPRULI,PUT VOL,,,,1861
ICICIPRULI,PUT OI,,,,1986
IDEA,CASH VOL,1.296,2.013,0.214,0.663
IDEA,FUT VOL,,,,
IDEA,FUT OI,,1.005,,1.005
IDEA,CALL VOL,,,,20400
IDEA,CALL OI,,,,20926
IDEA,PUT VOL,,,,6136
IDEA,PUT OI,,,,11503
IDFCFIRSTB,CASH VOL,0.831,0.317,0.2,0.154
IDFCFIRSTB,FUT VOL,,,,
IDFCFIRSTB,FUT OI,,0.998,,0.998
IDFCFIRSTB,CALL VOL,,,,3426
IDFCFIRSTB,CALL OI,,,,9358
IDFCFIRSTB,PUT VOL,,,,3074
IDFCFIRSTB,PUT OI,,,,7078
IEX,CASH VOL,0.875,6.857,0.185,0.106
IEX,FUT VOL,,,,
IEX,FUT OI,,1.018,,1.018
IEX,CALL VOL,,,,1540
IEX,CALL OI,,,,4329
IEX,PUT VOL,,,,455
IEX,PUT OI,,,,2984
INDHOTEL,CASH VOL,1.08,0.715,0.212,0.159
INDHOTEL,FUT VOL,,,,
INDHOTEL,FUT OI,,1.005,,1.005
INDHOTEL,CALL VOL,,,,873
INDHOTEL,CALL OI,,,,3261
INDHOTEL,PUT VOL,,,,458
INDHOTEL,PUT OI,,,,3005
INDIANB,CASH VOL,1.38,0.448,0.301,0.233
INDIANB,FUT VOL,,,,
INDIANB,FUT OI,,1.039,,1.039
INDIANB,CALL VOL,,,,1766
